name,mascot,city,state,primary_color,secondary_color,team_logo_image
Boys Ranch,Rough Riders,,TX,,,
Bracken Christian,Warriors,Bulverde,TX,,,
Brackenridge,Eagles,San Antonio,TX,,,
Brackettville,Tigers,Brackettville,TX,,,
Brady,Bulldogs,Brady,TX,#000000,#C5B358,
Brandeis,Broncos,San Antonio,TX,,,
Braswell,Bengals,Denton,TX,,,
Bray-Doyle,,,OK,,,
Brazos,Cougars,Wallis,TX,#000000,#C8102E,
Brazosport,Exporters,Freeport,TX,,,
Brazosport Christan,Eagles,Lake Jackson,TX,,,
Breaux Bridge,Tigers,Breaux Bridge,LA,,,
Breckenridge,Buckaroos,Breckenridge,TX,#1F7A3A,#FFFFFF,
Bremond,Tigers,Bremond,TX,,,
Brenham,Cubs,Brenham,TX,#4CBB17,#FFFFFF,
Brennan,Bears,San Antonio,TX,#000000,#FFD100,
Brentwood Christian,Bears,Austin,TX,,,
Brewer,Eagles,White Settlement,TX,,,
Bridge City,,,OK,,,
Bridge City,Cardinals,Bridge City,TX,#D62828,#FFFFFF,
Bridgeland,Bears,Cypress,TX,,,
Bridgeport,Bulls,Bridgeport,TX,#800000,#FFFFFF,
Bristow,,,OK,,,
Broadmoor,Buccaneers,Baton Rouge,LA,,,
Brock,Eagles,Brock,TX,#0000FF,#FFD700,
Broken Arrow,Tigers,,OK,,,
Broken Bow,Savages,,OK,,,
Bronte,Longhorns,,TX,,,
Brook Hill,Guard,Bullard,TX,,,
Brookesmith,Mustangs,Brookesmith,TX,,,
Brown City,Green Devils,Brown City,MI,,,
Brownfield,Cubs,Brownfield,TX,#1F4FBF,#FFFFFF,
Brownsboro,Bears,Brownsboro,TX,,,
Brownwood,Lions,Brownwood,TX,#654321,#FFFFFF,
Bruceville-Eddy,Eagles,Eddy,TX,,,
Brumi,Badgers,,TX,,,
Bruni,Badgers,Bruni,TX,#0206AA,#F4F7FA,
Bryan,Vikings,Bryan,TX,,,
Bryson,Cowboys,Bryson,TX,,,
Buckeye,Panthers,Alexandria,LA,,,
Buckeye,Panthers,Alexandria,LA,,,
Buckeye,Panthers,Alexandria,LA,,,
Buckholts,Dragons,Buckholts,TX,,,
Buena Vista,Longhorns,,TX,,,
Buenavidas,Eagles,,TX,,,
Buffalo,Bison,Buffalo,TX,,,
Bullard,Panthers,Bullard,TX,#D62828,#FFFFFF,
Buna,Cougars,Buna,TX,,,
Bunkie,Panthers,Rankin,LA,,,
Burbank,Bulldogs,San Antonio,TX,,,
Burges,Mustangs,El Paso,TX,,,
Burkburnett,Bulldogs,Burkburnett,TX,,,
Burkeville,Mustangs,Burkeville,TX,,,
Burleson,Elks,Burleson,TX,#000000,#800000,
Burnet,Bulldogs,Burnet,TX,#4CBB17,#FFFFFF,
Burns Flat-Dill City,,,OK,,,
Burton,Panthers,Burton,TX,,,
Bush,Broncos,Fort Bend,TX,,,
Bushland,Falcons,Bushland,TX,,,
Bynum,Bulldogs,Bynum,TX,,,
Byron Nelson,Bobcats,,TX,,,
C.E. Byrd,Yellow Jackets,Shreveport,LA,,,
C.E. King,Panthers,Sheldon,TX,,,
Cache,,,OK,,,
Caddo,,,OK,,,
Caddo Magnet,Mustangs,Shreveport,LA,,,
Caddo Mills,Foxes,Caddo Mills,TX,#387B6C,#B2CAD8,
Cain,Hurricanes,Klein,TX,#800080,#C0C0C0,
Calallen,Wildcats,Corpus Christi,TX,,,
Caldwell,Hornets,Caldwell,TX,#DE5842,#B2B0BA,
Caldwell Parish,Spartans,Columbia,LA,,,
Calhoun,Sandcrabs,Port Lavaca,TX,,,
Callisburg,Wildcats,Callisburg,TX,#311A2C,#C3C0F2,
Calvary Baptist Academy,Cavaliers,Shreveport,LA,,,
Calvert,Trojans,Calvert,TX,,,
Cameron Yoe,Yoemen,Cameron,TX,#800000,#FFFFFF,
Canadian,,,OK,,,
Canadian,Wildcats,Canadian,TX,#181B1D,#C1B2A6,
Caney Creek,Panthers,Conroe,TX,,,
Caney Valley,,,OK,,,
Canton,,,OK,,#7E7F88,
Canton,Eagles,Canton,TX,#0B2D2E,#7E7F88,
